Organization,Language,Work Location,Number of Positions,Area of Selection,Classification,Education,Process Number,Poster URL,Title,Open Date,Close date,Number of Applications
"Administrative Tribunals Support Service of Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","21ATS-ACIN-00644","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1596916","Director, Accommodations and Security","2021-05-19","2021-05-27",14
"Administrative Tribunals Support Service of Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","16ATS-IA-00866","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=994741","Director, Planning and Communications","2016-12-22","2017-01-16",24
"Administrative Tribunals Support Service of Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","16ATS-IA-00644","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=943994","Director, Administration, Facilities and Security","2016-08-02","2016-08-16",26
"Administrative Tribunals Support Service of Canada","Bilingual - imperative","National Capital Region","One Position","External Process","EX01","Post-secondary","18ATS-EA-00020","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1159913","Executive Director","2018-05-03","2018-05-21",33
"Administrative Tribunals Support Service of Canada","English essential","British Columbia, Vancouver Region","One Position","External Process","EX01","Post-secondary","17ATS-EA-00927","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1042449","Regional Director and Registrar","2017-06-01","2017-06-29",34
"Agriculture and Agri-Food Canada","Various language requirements and/or profiles","International, Outside Canada","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","19-AGR-NCR-IA-MISB-613","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1376682","Trade Commissioner, New Delhi (India)","2019-12-03","2019-12-19",4
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","16-AGR-NCR-IA-CM-402","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=978201","Director, Staffing","2016-11-25","2016-12-05",5
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","18-AGR-NCR-IA-CM-205","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1159721","Director, Pay Services","2018-05-31","2018-06-14",6
"Agriculture and Agri-Food Canada","Various language requirements and/or profiles","International, Outside Canada","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","17-AGR-NCR-SAD-MISB-465","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1088163","Trade Commissioner, New Delhi / Trade Commissioner and Head of Agriculture Section, Beijing","2017-11-08","2017-11-29",7
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","18-AGR-NCR-IA-CM-147","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1155929","Director, Finance","2018-04-24","2018-05-08",7
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","17-AGR-NCR-IA-PB-168","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1028393","Director, Financial Guarantee Programs","2017-04-19","2017-05-08",9
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","18-AGR-NCR-IA-NFPC-432","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1199891","Director, Regulatory and Sectoral Affairs","2018-09-04","2018-09-14",9
"Agriculture and Agri-Food Canada","Bilingual - imperative","Manitoba, Southern Manitoba","One Position","External Process","EX01","Post-secondary","18-AGR-MBSK-EA-PB-150","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1208614","Director, Business Risk Management (BRM) Finance","2018-09-21","2018-10-09",15
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","External Process","EX01","Post-secondary","18-AGR-NCR-EA-NFPC-556","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1213775","Director, Regulatory and Sectoral Affairs","2018-09-21","2018-10-01",18
"Agriculture and Agri-Food Canada","Bilingual - imperative","Multiple locations","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","18-AGR-BCAB-IA-MISB-165","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1253564","Regional Director, North-Western Regional Office","2019-01-11","2019-01-25",18
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","15-AGR-NCR-IA-SP-404","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=874729","Director, Policy Analysis","2016-01-15","2016-01-29",20
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","15-AGR-NCR-IA-AE-355","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=858635","Director, Evaluation Services","2015-11-25","2015-12-09",21
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","20-AGR-NCR-IA-NFPC-493","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1498123","Director, Corporate Affairs *Amendment*","2020-09-29","2020-10-13",21
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","15-AGR-NCR-IA-MISB-403","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=874469","Director, Animal Industry Division","2016-01-11","2016-01-25",24
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","15-AGR-NCR-IA-PB-375-1","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=880530","Director, Industry Development Division","2016-01-19","2016-01-21",24
"Agriculture and Agri-Food Canada","Bilingual - imperative","Manitoba, Southern Manitoba","Multiple Positions","External Process","EX01","Post-secondary","18-AGR-MBSK-EA-PB-21","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1145713","Directors","2018-03-28","2018-04-11",25
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","17-AGR-NCR-IA-MISB-79","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1016068","Director, Horticulture and Cross Sectorial Division","2017-03-08","2017-03-22",27
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","15-AGR-NCR-IA-PB-276","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=843137","Director, Cost-Shared Governance and Accountability","2015-10-06","2015-10-20",28
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","18-AGR-NCR-IA-SP-63","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1133857","Director, Economic and Industry Analysis // Director, Farm Economic Analysis Division","2018-03-26","2018-04-16",28
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","17-AGR-NCR-IA-MISB-170","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1028607","Director, Policy, Planning, and Emergency Management","2017-06-14","2017-06-28",33
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","20-AGR-NCR-IA-CM-510","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1507972","Director, Corporate Planning and Human Resources Analytics","2020-10-19","2020-11-02",36
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","16-AGR-NCR-IA-MISB-178","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=930663","Director (various positions to staff)","2016-06-15","2016-06-29",55
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","19-AGR-NCR-IA-SP-668","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1385475","Director, Indigenous Policy (amendment)","2020-01-08","2020-01-28",57
"Agriculture and Agri-Food Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","20-AGR-NCR-IA-CM-99","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1453959","Director, Material Management *Amendment*","2020-05-21","2020-06-11",58
"Agriculture and Agri-Food Canada","Bilingual - imperative","Various locations","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","17-AGR-NCR-IA-CM-966","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1061562","Director Positions - Anticipatory","2017-07-31","2017-08-21",61
"Agriculture and Agri-Food Canada","Bilingual - imperative","Various locations","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","19-AGR-NCR-IA-CM-76","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1250689","Director Positions - Anticipatory","2019-02-11","2019-02-25",153
"Agriculture and Agri-Food Canada","Bilingual - imperative","Various locations","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","21-AGR-NCR-IA-CM-131","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1567302","Director Positions - Anticipatory","2021-03-05","2021-03-18",221
"Atlantic Canada Opportunities Agency","English essential","Newfoundland and Labrador, Avalon Peninsula","One Position","Internal Process, All Public Servants","EX01","Post-secondary","16-ACO-IA-HO-106","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=918428","Director, Enterprise Development","2016-05-11","2016-05-24",7
"Atlantic Canada Opportunities Agency","Bilingual - imperative","New Brunswick, Fredericton Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","18-ACO-SAD-HO-21","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1118669","Director General, Policy, Advocacy and Coordination","2018-01-18","2018-02-01",9
"Atlantic Canada Opportunities Agency","Bilingual - imperative","New Brunswick, Fredericton Region","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","18-ACO-IA-HO-92","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1142146","Director, Programs","2018-03-19","2018-03-27",13
"Atlantic Canada Opportunities Agency","English essential","Newfoundland and Labrador, Avalon Peninsula","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","20-ACO-IA-HO-144","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1457755","Director, Community Development","2020-06-15","2020-06-29",13
"Atlantic Canada Opportunities Agency","Bilingual - imperative","Multiple locations","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","21-ACO-ACIN-HO-130","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1590012","Special Advisor, Corporate Initiatives","2021-04-14","2021-04-30",13
"Atlantic Canada Opportunities Agency","Bilingual - imperative","Prince Edward Island, Prince Edward Island Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","19-ACO-IA-HO-311","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1391641","Director General, Tourism Atlantic & Strategic Initiatives","2020-01-02","2020-01-16",29
"Atlantic Canada Opportunities Agency","Bilingual - imperative","New Brunswick, Fredericton Region","One Position","External Process","EX01","Post-secondary","18-ACO-EA-HO-351","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1243529","Director General, Policy, Advocacy and Coordination","2018-12-07","2018-12-20",30
"Atlantic Canada Opportunities Agency","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","20-ACO-IA-HO-25","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1403533","Various Director positions - 3 Streams","2020-01-21","2020-02-04",40
"Atlantic Canada Opportunities Agency","Various language requirements and/or profiles","Multiple locations","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","18-ACO-IA-HO-55","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1132309","Director General, Policy, Advocacy and Coordination (NB Region and NS Region)","2018-02-23","2018-03-09",42
"Atlantic Canada Opportunities Agency","Bilingual - imperative","New Brunswick, Moncton Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","17-ACO-IA-HO-352","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1104860","Director (Various positions)","2017-12-12","2018-01-08",44
"Canada Border Services Agency","English essential","Multiple locations","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","20-IA-SOR-EX01-464","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1450156","District Director, St. Clair, ON or Windsor, ON","2020-05-13","2020-05-27",12
"Canada Border Services Agency","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","2020-IA-HRB-EX01-704","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1518591","1-  Director, Labour Relations Operations / 2-  Director, Corporate Labour Relations","2020-11-12","2020-11-27",12
"Canada Border Services Agency","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2016-IA-HQ-HRB-EX01-241","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=977103","Director, Labour Relations Programs and Compensation","2016-11-07","2016-11-28",14
"Canada Border Services Agency","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","18-IA-COMP-EX01-259","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1191964","Director, Personnel Security and Professional Standards","2018-08-01","2018-08-22",20
"Canada Border Services Agency","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2017-IA-COMPT-EX01-698","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1113235","Director, Strategic Procurement & Contracting","2018-02-15","2018-03-06",24
"Canada Border Services Agency","Various language requirements and/or profiles","National Capital Region","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","2022-IA-HRB-EX01-518","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1751839","ANTICIPATORY - Various Director Positions/ Human Resources Branch (EX-01)","2022-03-14","2022-03-28",24
"Canada Border Services Agency","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","18-IA-COMPT-EX01-48","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1127684","Director, Security & Integrity Programs (Anticipatory)","2018-02-15","2018-03-06",29
"Canada Border Services Agency","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2018-IA-COMPT-EX01-47","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1123912","Director, Accommodations","2018-02-15","2018-03-06",37
"Canada Border Services Agency","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","2018-IA-PRG-EX01-57","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1134749","Director (various positions)","2018-03-09","2018-03-29",49
"Canada Border Services Agency","English essential","Multiple locations","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","2020-IA-GTA-EX01-706","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1519279","Various director positions","2020-11-26","2020-12-17",51
"Canada Border Services Agency","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","2018-IA-HRB-EX01-125","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1146792","Director, Various positions in Human Resources","2018-05-03","2018-05-22",55
"Canada Border Services Agency","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","17-BSF-IA-HQ-ISTB-EX-617","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1094993","Director (various positions) *amendment to the closing date*","2017-11-07","2017-11-15",68
"Canada Border Services Agency","Various language requirements and/or profiles","Multiple locations","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","15-BSF-IA-OPS-NAT-EX-604","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=854146","Director, Various positions","2015-10-28","2015-11-12",78
"Canada Border Services Agency","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2019-IA-SP-EX-01-263","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1368212","Director, International Operations *Amendment to Education Criteria and Closing Date*","2019-10-16","2019-10-30",82
"Canada Border Services Agency","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","2019-IA-HRB-EX01-240","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1363102","1- Director, Strategic Change Management / 2- Director, Leadership and Performance","2019-10-09","2019-10-23",99
"Canada Border Services Agency","Various language requirements and/or profiles","Multiple locations","Multiple Positions","Internal Process, Other Area of Selection","EX01","Master's degree","18-BSF-IA-OPS-EX-NAT-EX-69","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1123545","Director, Various Positions","2018-10-09","2018-10-23",139
"Canada Border Services Agency","Bilingual - imperative","Various locations","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","16-BSF-IA-HQ-PRG-NAT-EX-818","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=899653","Anticipatory - Director (various positions)","2016-03-18","2016-04-01",235
"Canada Border Services Agency","Various language requirements and/or profiles","Various locations","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","2021-IA-EE-EX01-794","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1560643","Increasing Diversity In The CBSA Executive Ranks - AMENDMENT to education","2021-02-17","2021-03-24",470
"Canada Economic Development for Quebec Regions","Bilingual - imperative","Québec, Montréal","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","17-FRD-IA-MC-287059","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1032535","Chief of Staff, Deputy Minister Office","2017-04-28","2017-05-08",11
"Canada Economic Development for Quebec Regions","Bilingual - imperative","Québec, Québec Center","One Position","Internal Process, All Public Servants","EX01","Post-secondary","16-FRD-IA-MB-273029","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=963379","Director, Québec-Chaudière-Appalaches Business Office","2016-09-27","2016-10-07",18
"Canada Economic Development for Quebec Regions","Various language requirements and/or profiles","Multiple locations","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","Voir-remarques","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=804540","Director, Montreal(EX-01)/Gaspé Îles-de-la-madeleine/Saguenay Lac St-Jean (CO-04) Business office","2015-05-27","2015-06-10",21
"Canada Economic Development for Quebec Regions","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","17-FRD-IA-MB-285717","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1020836","Director, Gouvernmental affairs","2017-03-17","2017-03-31",21
"Canada Economic Development for Quebec Regions","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","education level unknown/not listed","21-FRD-IA-407599","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1678069","Director, Governmental Affairs (GAD)","2021-11-08","2021-11-17",25
"Canada Economic Development for Quebec Regions","Bilingual - imperative","Multiple locations","One Position","Internal Process, All Public Servants","EX01","Post-secondary","20-FRD-IA-367658","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1442865","Director - Various Positions","2020-04-21","2020-05-04",63
"Canada Economic Development for Quebec Regions","Bilingual - imperative","Multiple locations","One Position","External Process","EX01","Post-secondary","20-FRD-EA-367658","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1442807","Director - Various Positions","2020-04-21","2020-05-04",119
"Canada Energy Regulator","Bilingual - imperative","Alberta, Calgary  Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","20-ENR-IA-0223","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1561641","Director of Integration, Planning and Analytics","2021-02-16","2021-03-07",6
"Canada Energy Regulator","Bilingual - imperative","Alberta, Calgary  Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","21-ERG-IA-0103","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1603283","Director, Information Technology","2021-05-12","2021-06-07",7
"Canada Energy Regulator","English essential","Alberta, Calgary  Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","22-ERG-IA-0110","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1829317","Director Energy Adjudication Facilities Central/North","2022-08-03","2022-08-31",8
"Canada Energy Regulator","English essential","Alberta, Calgary  Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","22-ERG-IA-0200","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1901806","Director Compensation and Analytics","2022-12-16","2023-01-16",21
"Canada Energy Regulator","Various language requirements and/or profiles","Alberta, Calgary  Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","22-ERG-IA-0173","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1879180","Director, Various Business Units","2022-11-04","2022-11-14",26
"Canada Energy Regulator","Bilingual - imperative","Alberta, Calgary  Region","One Position","External Process","EX01","Post-secondary","21-ERG-EA-0178","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1680886","Director of Integration, Planning and Analytics","2021-10-29","2021-11-29",44
"Canada Energy Regulator","English essential","Alberta, Calgary  Region","One Position","External Process","EX01","Post-secondary","21-ERG-EA-0137","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1638758","Director, Financial Management & Reporting","2021-07-30","2021-08-15",47
"Canada Energy Regulator","English essential","Alberta, Calgary  Region","One Position","External Process","EX01","Post-secondary","21-ERG-EA-0193","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1690569","Director, Energy Markets","2021-11-18","2021-12-09",59
"Canada Energy Regulator","Various language requirements and/or profiles","Alberta, Calgary  Region","Multiple Positions","External Process","EX01","Post-secondary","21-ERG-EA-0118A","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1632322","Director  Multiple Positions","2021-07-09","2021-08-04",86
"Canada School of Public Service","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2018-CES-CSB-IA-105636","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1119857","ANTICIPATORY PROCESS (please send all documents including CV and the cover letter to the HR contact)","2018-01-22","2018-02-08",5
"Canada School of Public Service","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","15-CES-CSB-IA-90117","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=849762","Director, Enterprise Information Management","2015-10-09","2015-10-13",7
"Canada School of Public Service","Bilingual - imperative","National Capital Region","One Position","Internal Process, Public Servants in NCR","EX01","Post-secondary","20-CES-HRM-IA-122637","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1428284","Director, Classification and Labour Relations","2020-03-30","2020-04-24",8
"Canada School of Public Service","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","20-CES-LPB-IA-121743","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1405966","Director, Indigenous Learning","2020-01-29","2020-02-19",9
"Canada School of Public Service","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","20-CES-LPB-IA-TBD2","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1406686","Executive Director, National Managers' Community Secretariat","2020-01-29","2020-02-13",20
"Canada School of Public Service","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","16-CES-LPB-IA","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=969635","Executive Director, National Managers' Community Secretariat","2016-10-19","2016-11-02",21
"Canada School of Public Service","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","17-CES-LPB-IA-102331","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1098950","Director, GC Campus","2017-11-10","2017-11-23",22
"Canada School of Public Service","Bilingual - imperative","Multiple locations","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","17-CES-LPB-IA-102329","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1095141","Dir, Policy & Strategic Relationships and Dir, Curriculum Management AMENDMENT AREA OF SELECTION","2017-11-01","2017-11-14",31
"Canada School of Public Service","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","17-CES-LPB-IA-102330","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1081867","Director, Specialized Learning and Director, Key Transition Programs AMENDMENT AREA OF SELECTION","2017-10-26","2017-11-14",46
"Canada School of Public Service","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","16-CES-CSB-IA-94465","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=931005","Special Advisor","2016-07-05","2016-07-26",58
